BEGIN DSCRDATA
% INDEX	K01	L01	M01	N01	K02	L02	M02	N02	K03	L03	M03	N03	K04	L04	M04	N04	K05	L05	M05	N05	K06	L06	M06	N06	K07	L07	M07	N07	K08	L08	M08	N08	K09	L09	M09	N09	K10	L10	M10	N10	K11	L11	M11	N11	K12	L12	M12	N12	K13	L13	M13	N13	K14	L14	M14	N14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1E-30	5.256E-7	34.72	1E-30	1E-30	2.251E-7	86.69	1.004E-12	1E-30	2.3E-8	30.61	1E-30	1E-30	1E-30	0.022	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
2	1E-30	5.256E-7	34.72	1E-30	1E-30	2.251E-7	86.69	1.004E-12	1E-30	2.3E-8	30.61	1E-30	1E-30	1E-30	0.022	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
3	1E-30	5.256E-7	34.72	1E-30	1E-30	2.251E-7	86.69	1.004E-12	1E-30	2.3E-8	30.61	1E-30	1E-30	1E-30	0.022	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
4	1E-30	3.864E-8	20.23	1E-30	1E-30	1.188E-7	9.17	8.193E-13	1E-30	7.514E-10	177300	1E-30	1E-30	1E-30	3E-3	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
5	1E-30	3.864E-8	20.23	1E-30	1E-30	1.188E-7	9.17	8.193E-13	1E-30	7.514E-10	177300	1E-30	1E-30	1E-30	3E-3	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
6	1E-30	3.864E-8	20.23	1E-30	1E-30	1.188E-7	9.17	8.193E-13	1E-30	7.514E-10	177300	1E-30	1E-30	1E-30	3E-3	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
7	1E-30	1.171E-6	84.82	1E-30	1E-30	3.257E-7	178.9	1.152E-12	1E-30	2.788E-9	22.62	1E-30	1E-30	1E-30	0.03	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
8	1E-30	1.171E-6	84.82	1E-30	1E-30	3.257E-7	178.9	1.152E-12	1E-30	2.788E-9	22.62	1E-30	1E-30	1E-30	0.03	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
9	1E-30	1.171E-6	84.82	1E-30	1E-30	3.257E-7	178.9	1.152E-12	1E-30	2.788E-9	22.62	1E-30	1E-30	1E-30	0.03	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
