BEGIN DSCRDATA
% INDEX	K01	L01	M01	N01	K02	L02	M02	N02	K03	L03	M03	N03	K04	L04	M04	N04	K05	L05	M05	N05	K06	L06	M06	N06	K07	L07	M07	N07	K08	L08	M08	N08	K09	L09	M09	N09	K10	L10	M10	N10	K11	L11	M11	N11	K12	L12	M12	N12	K13	L13	M13	N13	K14	L14	M14	N14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.60089E-13	5.92651E-8	802.693	1E-30	1E-30	9.72016E-9	2.09622	6.85385E-14	1E-30	2.84331E-7	0.254495	1E-30	1E-30	1E-30	0.75	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
2	5.09638E-13	3.08553E-8	409.8	1E-30	1E-30	6.468E-9	1.59917	8.0426E-14	1E-30	2.27748E-8	0.1	1E-30	1E-30	1E-30	0.3	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30	1E-30
END DSCRDATA
